Date,Open,High,Low,Close,Adj Close,Volume
2021-06-11,1521.000000,1527.150024,1498.650024,1503.449951,1486.622925,1909384
2021-06-14,1503.449951,1519.500000,1478.000000,1515.750000,1498.785278,2005404
2021-06-15,1520.000000,1523.699951,1505.849976,1510.800049,1493.890747,1831871
2021-06-16,1505.849976,1516.000000,1488.000000,1490.900024,1474.213501,1504791
2021-06-17,1481.000000,1499.849976,1480.250000,1487.550049,1470.901001,1675778
2021-06-18,1487.550049,1490.949951,1460.099976,1476.000000,1459.480225,4649835
2021-06-21,1460.000000,1469.400024,1447.250000,1467.050049,1450.630493,1970012
2021-06-22,1470.099976,1504.800049,1469.550049,1499.199951,1482.420532,3862264
2021-06-23,1505.000000,1507.000000,1476.099976,1479.250000,1462.693848,1818874
2021-06-24,1490.000000,1513.199951,1482.000000,1504.050049,1487.216309,2762042
2021-06-25,1510.500000,1529.300049,1507.500000,1523.849976,1506.794678,2099002
2021-06-28,1526.000000,1527.949951,1510.349976,1514.449951,1497.499878,1173658
2021-06-29,1513.000000,1529.800049,1503.900024,1510.900024,1493.989624,2174022
2021-06-30,1516.000000,1523.400024,1495.500000,1500.550049,1483.755493,2139362
2021-07-01,1497.099976,1503.000000,1480.150024,1492.300049,1475.597778,2060651
2021-07-02,1500.000000,1500.650024,1475.500000,1485.650024,1469.022217,1814564
2021-07-05,1490.000000,1514.000000,1488.000000,1507.949951,1491.072632,1605396
2021-07-06,1506.000000,1519.000000,1500.000000,1505.500000,1488.650024,1072506
2021-07-07,1495.000000,1519.699951,1495.000000,1516.449951,1499.477417,1096808
2021-07-08,1503.000000,1524.000000,1497.000000,1500.699951,1483.903687,1456033
2021-07-09,1497.900024,1502.849976,1485.500000,1499.599976,1482.816040,1248405
2021-07-12,1504.400024,1516.000000,1491.599976,1500.750000,1483.953247,865284
2021-07-13,1515.000000,1515.000000,1501.349976,1513.599976,1496.659424,995833
2021-07-14,1513.550049,1549.900024,1508.000000,1544.699951,1527.411255,4010254
2021-07-15,1550.000000,1625.000000,1549.949951,1609.349976,1591.337769,9066480
2021-07-16,1609.349976,1622.800049,1595.099976,1618.750000,1600.632568,4157388
2021-07-19,1600.000000,1639.400024,1597.599976,1609.599976,1591.584961,3027093
2021-07-20,1609.849976,1622.650024,1582.000000,1590.349976,1572.550415,1847026
2021-07-22,1610.000000,1647.150024,1591.550049,1642.150024,1623.770630,3231269
2021-07-23,1644.000000,1645.949951,1606.849976,1611.750000,1593.710815,2259058
2021-07-26,1611.750000,1627.300049,1592.800049,1597.599976,1579.719238,2219416
2021-07-27,1610.150024,1619.000000,1584.250000,1608.250000,1590.250000,3984778
2021-07-28,1592.449951,1601.300049,1553.000000,1594.199951,1594.199951,4119892
2021-07-29,1594.000000,1607.349976,1586.000000,1596.000000,1596.000000,1672177
2021-07-30,1598.000000,1624.900024,1585.000000,1601.449951,1601.449951,2536568
2021-08-02,1606.300049,1618.000000,1602.050049,1613.949951,1613.949951,1083353
2021-08-03,1625.000000,1638.699951,1610.300049,1634.349976,1634.349976,1777140
2021-08-04,1640.000000,1644.300049,1613.599976,1623.199951,1623.199951,2067087
2021-08-05,1620.000000,1632.849976,1608.800049,1627.400024,1627.400024,1831728
